TaxID,ScientificName,ParentTaxID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
1142958,Ruscus_hypophyllum,59066,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Ruscus,Ruscus hypophyllum,
1143061,Leptura_quadrifasciata,41152,Metazoa,Arthropoda,Insecta,Coleoptera,Cerambycidae,Leptura,Leptura quadrifasciata,
1143063,Lochmaea_crataegi,227479,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Lochmaea,Lochmaea crataegi,
1143066,Magdalis_cerasi,202030,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,Magdalis,Magdalis cerasi,
1143099,Pogonocherus_hispidulus,347440,Metazoa,Arthropoda,Insecta,Coleoptera,Cerambycidae,Pogonocherus,Pogonocherus hispidulus,
1143158,Diadumene_leucolena,478394,Metazoa,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Diadumene leucolena,
1143185,Torulaspora_quercuum,4948,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora quercuum,
1143189,Pyricularia_oryzae_Y34,318829,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia oryzae,
1143193,Pyricularia_oryzae_P131,318829,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia oryzae,
1143241,Malus_sikkimensis,3749,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus sikkimensis,
1143261,Phylloporus_arenicola,5373,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloporus,Phylloporus arenicola,
1143271,Phylloporus_scabripes,5373,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Phylloporus,Phylloporus scabripes,
114329,Neopelma_chrysocephalum,114328,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Neopelma,Neopelma chrysocephalum,
